Species	PSR	ZDiff
Ferret	0.613	21.174
Ferret	0.613	26.110
Dog	0.573	9.127
Dog	0.573	19.739
Dog	0.573	7.786
Dog	0.573	33.638
Guinea Pig	0.341	-3.572
Guinea Pig	0.341	-14.731
Guinea Pig	0.341	-14.106
Guinea Pig	0.341	-1.445
Guinea Pig	0.341	-2.506
Guinea Pig	0.341	1.951
Velvety free-tailed bat	0.305	6.235
Velvety free-tailed bat	0.305	-6.017
Velvety free-tailed bat	0.305	-16.594
Pig	0.237	7.391
Pig	0.237	5.386
Mouse-eared bat	0.198	-3.612
Mouse-eared bat	0.198	-6.611
Human	0.037	0.896
Human	0.037	3.368
Human	0.037	9.770
Mouse	0.020	3.713
Mouse	0.020	-14.793
Mouse	0.020	-6.146
Mouse	0.020	-2.414
Mouse	0.020	-3.772
Deer mouse	-0.013	-24.000
Yellow Baboon	-0.044	-9.999
Tent-making bat	-0.106	-34.537
Tent-making bat	-0.106	-16.493
Rat	-0.124	22.018
Rat	-0.124	15.933
Rabbit	-0.136	-6.172
Rabbit	-0.136	14.975
Hamster	-0.166	-14.524
Rhesus Macaque	-0.210	-19.603
Rhesus Macaque	-0.210	-5.946
Flat-faced fruit-eating bat	-0.376	2.742
Flat-faced fruit-eating bat	-0.376	2.557
Flat-faced fruit-eating bat	-0.376	-20.653
Flat-faced fruit-eating bat	-0.376	-28.057
Flat-faced fruit-eating bat	-0.376	-34.774
Flat-faced fruit-eating bat	-0.376	-14.911
Donkey	-0.478	-22.559
Donkey	-0.478	-5.879
Donkey	-0.478	-43.698
Sheep	-0.512	-65.219
Sheep	-0.512	-41.484
Cow	-0.528	-34.006
Cow	-0.528	-27.843
Cow	-0.528	-26.368
Goat	-0.584	-17.636
Goat	-0.584	-47.028
Goat	-0.584	6.856
Goat	-0.584	-33.988
Goat	-0.584	-136.669
Mule	-0.784	-34.059
Mule	-0.784	-31.370
Great fruit-eating bat	-1.018	1.799
Great fruit-eating bat	-1.018	4.923
